Collision Pairs (after SRDF filtering):
Pair 336: lewis_fr3_link1_3 <-> richard_fr3_link1_0
Pair 337: lewis_fr3_link1_3 <-> richard_fr3_link1_1
Pair 338: lewis_fr3_link1_3 <-> richard_fr3_link1_2
Pair 339: lewis_fr3_link1_3 <-> richard_fr3_link1_3
Pair 340: lewis_fr3_link1_3 <-> richard_fr3_link2_0
Pair 341: lewis_fr3_link1_3 <-> richard_fr3_link2_1
Pair 342: lewis_fr3_link1_3 <-> richard_fr3_link2_2
Pair 343: lewis_fr3_link1_3 <-> richard_fr3_link2_3
Pair 344: lewis_fr3_link1_3 <-> richard_fr3_link3_0
Pair 345: lewis_fr3_link1_3 <-> richard_fr3_link3_1
Pair 346: lewis_fr3_link1_3 <-> richard_fr3_link3_2
Pair 347: lewis_fr3_link1_3 <-> richard_fr3_link3_3
Pair 348: lewis_fr3_link1_3 <-> richard_fr3_link4_0
Pair 349: lewis_fr3_link1_3 <-> richard_fr3_link4_1
Pair 350: lewis_fr3_link1_3 <-> richard_fr3_link4_2
Pair 351: lewis_fr3_link1_3 <-> richard_fr3_link4_3
Pair 352: lewis_fr3_link1_3 <-> richard_fr3_link5_0
Pair 353: lewis_fr3_link1_3 <-> richard_fr3_link5_1
Pair 354: lewis_fr3_link1_3 <-> richard_fr3_link5_2
Pair 355: lewis_fr3_link1_3 <-> richard_fr3_link5_3
Pair 356: lewis_fr3_link1_3 <-> richard_fr3_link5_4
Pair 357: lewis_fr3_link1_3 <-> richard_fr3_link5_5
Pair 358: lewis_fr3_link1_3 <-> richard_fr3_link5_6
Pair 359: lewis_fr3_link1_3 <-> richard_fr3_link5_7
Pair 360: lewis_fr3_link1_3 <-> richard_fr3_link5_8
Pair 361: lewis_fr3_link1_3 <-> richard_fr3_link5_9
Pair 362: lewis_fr3_link1_3 <-> richard_fr3_link5_10
Pair 363: lewis_fr3_link1_3 <-> richard_fr3_link5_11
Pair 364: lewis_fr3_link1_3 <-> richard_fr3_link6_0
Pair 365: lewis_fr3_link1_3 <-> richard_fr3_link6_1
Pair 366: lewis_fr3_link1_3 <-> richard_fr3_link6_2
Pair 367: lewis_fr3_link1_3 <-> richard_fr3_link7_0
Pair 368: lewis_fr3_link1_3 <-> richard_fr3_link7_1
Pair 369: lewis_fr3_link1_3 <-> richard_fr3_link7_2
Pair 370: lewis_fr3_link1_3 <-> richard_fr3_link7_3
Pair 371: lewis_fr3_link1_3 <-> richard_fr3_link7_4
Pair 372: lewis_fr3_link2_0 <-> lewis_fr3_link5_0
Pair 373: lewis_fr3_link2_0 <-> lewis_fr3_link5_1
Pair 374: lewis_fr3_link2_0 <-> lewis_fr3_link5_2
Pair 375: lewis_fr3_link2_0 <-> lewis_fr3_link5_3
Pair 376: lewis_fr3_link2_0 <-> lewis_fr3_link5_4
Pair 377: lewis_fr3_link2_0 <-> lewis_fr3_link5_5
Pair 378: lewis_fr3_link2_0 <-> lewis_fr3_link5_6
Pair 379: lewis_fr3_link2_0 <-> lewis_fr3_link5_7
Pair 380: lewis_fr3_link2_0 <-> lewis_fr3_link5_8
